N_cohort,id_axis,frequency,Nff,a_cohort,TT_col_0,TT_col_break,TT_col_nff,dTT_MS_cohort,n0,n1,n2,t0,t1,hs_t1,a,c,d,RMSE_gl
1.0,111.0,83.0,11.0,0.0102,-0.771289027,0.0,1078.0,0.0,4.871559739,3.24283148,5.8,476.832606953,621.685466007,6.34905890135,-3.83888395371e-09,-0.00458844157413,5.8,0.288717384629
1.0,110.0,14.0,10.0,0.00948531283868,-0.771289027,0.0,1053.49019608,-24.5098039216,4.42869067182,2.94802861818,5.27272727273,466.128511447,597.175662085,5.67171389224,-3.48989450337e-09,-0.00417131052194,5.27272727273,0.288717384629
1.0,112.0,3.0,12.0,0.0108766479157,-0.771289027,0.0,1102.50980392,24.5098039216,5.31442880618,3.53763434182,6.32727272727,487.837779446,646.195269929,7.03682747496,-4.18787340405e-09,-0.00500557262632,6.32727272727,0.288717384629
4.0,408.0,67.0,8.0,0.00887017538126,246.101259993,0.0,1148.0,70.0,3.24283148,3.24283148,4.93,611.689463226,691.685466007,3.95241005447,-3.26305136065e-09,-0.00390017533801,4.93,0.288717384629
4.0,409.0,10.0,9.0,0.00971493630859,246.101259993,0.0,1172.50980392,94.5098039216,3.24283148,3.24283148,4.93,579.89979217,716.195269929,4.56693336558,-3.26305136065e-09,-0.00390017533801,4.93,0.288717384629
4.0,407.0,10.0,7.0,0.00797821776877,246.101259993,0.0,1123.49019608,45.4901960784,3.24283148,3.24283148,4.93,652.561897442,667.175662085,3.35942327675,-3.26305136065e-09,-0.00390017533801,4.93,0.288717384629
4.0,410.0,1.0,10.0,0.0105161500171,246.101259993,0.0,1197.01960784,119.019607843,3.24283148,3.24283148,4.93,554.468055325,740.70507385,5.20132790555,-3.26305136065e-09,-0.00390017533801,4.93,0.288717384629
5.0,507.0,46.0,7.0,0.00849942613891,334.414985483,0.0,1158.0,80.0,3.12158832222,3.24283148,4.93,701.685466007,701.685466007,3.12158832222,-3.26305136065e-09,-0.00390017533801,4.93,0.288717384629
5.0,508.0,44.0,8.0,0.00943290753117,334.414985483,0.0,1182.50980392,104.509803922,3.24283148,3.24283148,4.93,678.19355739,726.195269929,3.69562719571,-3.26305136065e-09,-0.00390017533801,4.93,0.288717384629
5.0,506.0,4.0,6.0,0.00750867993456,334.414985483,0.0,1133.49019608,55.4901960784,2.57368021476,3.24283148,4.93,677.175662085,677.175662085,2.57368021476,-3.26305136065e-09,-0.00390017533801,4.93,0.288717384629
5.0,509.0,3.0,9.0,0.0103139494903,334.414985483,0.0,1207.01960784,129.019607843,3.24283148,3.24283148,4.93,648.827178703,750.70507385,4.29359494472,-3.26305136065e-09,-0.00390017533801,4.93,0.288717384629
6.0,607.0,128.0,7.0,0.00969599241326,446.052240385,0.0,1168.0,90.0,2.57557774034,3.24283148,4.93,711.685466007,711.685466007,2.57557774034,-3.26305136065e-09,-0.00390017533801,4.93,0.288717384629
6.0,606.0,21.0,6.0,0.00860291578773,446.052240385,0.0,1143.49019608,65.4901960784,2.07436449134,3.24283148,4.93,687.175662085,687.175662085,2.07436449134,-3.26305136065e-09,-0.00390017533801,4.93,0.288717384629
6.0,608.0,8.0,8.0,0.010717287078,446.052240385,0.0,1192.50980392,114.509803922,3.10954614131,3.24283148,4.93,736.195269929,736.195269929,3.10954614131,-3.26305136065e-09,-0.00390017533801,4.93,0.288717384629
7.0,706.0,17.0,6.0,0.00984909774402,568.807142346,0.0,1178.0,100.0,1.50571355268,3.24283148,4.93,721.685466007,721.685466007,1.50571355268,-3.26305136065e-09,-0.00390017533801,4.93,0.288717384629
7.0,707.0,7.0,7.0,0.0110461899948,568.807142346,0.0,1202.50980392,124.509803922,1.95946296011,3.24283148,4.93,746.195269929,746.195269929,1.95946296011,-3.26305136065e-09,-0.00390017533801,4.93,0.288717384629
